Run Date,Action,Symbol,Description,Type,Price ($),Quantity,Commission ($),Fees ($),Accrued Interest ($),Amount ($),Cash Balance ($),Settlement Date
12/31/2025,"DIVIDEND RECEIVED FIRST TR EXCHANGE TRADED FD II NASDA... (CIBR) (Cash)",CIBR,"FIRST TR EXCHANGE TRADED FD II NASDAQ C",Cash,,0.000,,,,93.78,13562.16,
12/31/2025,"REINVESTMENT FIDELITY GOVERNMENT MONEY MARKET (SPAXX) (Cash)",SPAXX,"FIDELITY GOVERNMENT MONEY MARKET",Cash,1,25.03,,,,-25.03,13468.38,
12/31/2025,"DIVIDEND RECEIVED FIDELITY GOVERNMENT MONEY MARKET (SPAXX) (Cash)",SPAXX,"FIDELITY GOVERNMENT MONEY MARKET",Cash,,0.000,,,,25.03,13468.38,
12/31/2025,"DIVIDEND RECEIVED BROADCOM INC COM (AVGO) (Cash)",AVGO,"BROADCOM INC COM",Cash,,0.000,,,,18.2,13443.35,
12/30/2025,"DIVIDEND RECEIVED DEVON ENERGY CORP NEW (DVN) (Cash)",DVN,"DEVON ENERGY CORP NEW",Cash,,0.000,,,,52.8,13425.15,
12/29/2025,"DIVIDEND RECEIVED BITMINE IMMERSION TECNOLOGIES COM NEW (BMNR) (Cash)",BMNR,"BITMINE IMMERSION TECNOLOGIES COM NEW",Cash,,0.000,,,,6.51,13372.35,
12/29/2025,"EXPIRED CALL (BMNR) BITMINE IMMERSION DEC 26 25 $33.5 as of Dec-26-2025 CALL (BMNR) BITMINE IMMERSION DEC 26 25 $33.5 (100 SHS) (Cash)", -BMNR251226C33.5,"CALL (BMNR) BITMINE IMMERSION DEC 26 25 $33.5 (100 SHS)",Cash,,6,,,,0.00,13365.84,
12/29/2025,"YOU SOLD OPENING TRANSACTION CALL (BMNR) BITMINE IMMERSION JAN 09 26 $31.5 (100 SHS) (Cash)", -BMNR260109C31.5,"CALL (BMNR) BITMINE IMMERSION JAN 09 26 $31.5 (100 SHS)",Cash,0.75,-6,3.9,0.08,,446.02,13365.84,12/30/2025
12/26/2025,"DIVIDEND RECEIVED NVIDIA CORPORATION COM (NVDA) (Cash)",NVDA,"NVIDIA CORPORATION COM",Cash,,0.000,,,,3,12919.82,
12/26/2025,"REINVESTMENT FIDELITY SELECT MATERIALS PORTFOLIO (FSDPX) (Cash)",FSDPX,"FIDELITY SELECT MATERIALS PORTFOLIO",Cash,93.4,2.432,,,,-227.12,12916.82,
12/26/2025,"DIVIDEND RECEIVED FIDELITY SELECT MATERIALS PORTFOLIO (FSDPX) (Cash)",FSDPX,"FIDELITY SELECT MATERIALS PORTFOLIO",Cash,,0.000,,,,148.99,13143.94,
12/26/2025,"REINVESTMENT FID SELECT ENTERPRIS TECH SERVICES PORT (FBSOX) (Cash)",FBSOX,"FID SELECT ENTERPRIS TECH SERVICES PORT",Cash,49.03,50.387,,,,-2470.49,12994.95,
12/26/2025,"DIVIDEND RECEIVED FID SELECT ENTERPRIS TECH SERVICES PORT (FBSOX) (Cash)",FBSOX,"FID SELECT ENTERPRIS TECH SERVICES PORT",Cash,,0.000,,,,27.87,15465.44,
12/26/2025,"LONG-TERM CAP GAIN FIDELITY SELECT MATERIALS PORTFOLIO (FSDPX) (Cash)",FSDPX,"FIDELITY SELECT MATERIALS PORTFOLIO",Cash,,0.000,,,,78.13,15437.57,
12/26/2025,"LONG-TERM CAP GAIN FID SELECT ENTERPRIS TECH SERVICES PORT (FBSOX) (Cash)",FBSOX,"FID SELECT ENTERPRIS TECH SERVICES PORT",Cash,,0.000,,,,2442.62,15359.44,
12/24/2025,"DIVIDEND RECEIVED VANGUARD RUSSELL 2000 ETF (VTWO) (Cash)",VTWO,"VANGUARD RUSSELL 2000 ETF",Cash,,0.000,,,,161.12,12916.82,
12/23/2025,"DIVIDEND RECEIVED KRANESHARES TRUST CSI CHI INTERNET (KWEB) (Cash)",KWEB,"KRANESHARES TRUST CSI CHI INTERNET",Cash,,0.000,,,,524.06,12755.70,
